"Name"
"Abdulla, Musa Saleh"
"Baranyai, Karoly"
"Baranyai, Mark"
"Baranyi, Bence"
"Baranyos, Zsolt"
"Barath, Botond"
"Barath, Janos"
"Barath, Martin"
"Barath, Peter"
"Barath, Zsolt"
"Barbulescu, Florin"
"Barcsay, Mark"
"Barczi, David"
"Bardi, Gabor"
"Bardos, Bence"
"Barkanyi, Arnold"
"Barkovics, Akos"
"Barna, Daniel"
"Barna, Laszlo"
"Barna, Szabolcs"
"Barna, Zsolt"
"Barta, Barnabas"
"Bartha, Attila"
"Bartha, Jozsef"
"Bartha, Laszlo"
"Bartha, Roland"
"Bartha, Tibor"
"Bartha, Zoltan"
"Barthel, Gabor"
"Bartos, Julian"
"Bartucz, Martin"
"Bartyik, Norbert"
"Bartyik, Roland"
"Barzo, Gergo"
"Bata, Csongor"
"Bata, Gabor"
"Bata, Kristof"
"Batik, Bence"
"Batizi-Pocsi, Balazs"
"Bauer, Peter"
"Bayer, Bence"
"Bayer, Szabolcs"
"Bedi, Bence"
"Begala, Peter"
"Beke, Balazs"
"Beke, Peter"
"Beke, Peter"
"Beke, Peter"
"Beke, Zsolt"
"Bekker, Roland"
"Bela, Daniel"
"Belenyesi, Csaba"
"Belenyesi, Miklos"
"Beli, Milan"
"Beliczky, Gergo"
"Bellon, Attila"
"Belteky, Marc"
"Bence, Szilard"
"Bencze, Donat"
"Bencze, Mark"
"Bencze, Marton"
"Bencze, Zoltan"
"Bene, Attila"
"Bene, Balazs"
"Bene, Bela"
"Bene, Marcell"
"Bene, Zoltan"
"Bene, Zsombor"
"Benecz, Daniel"
"Benedek, Nandor"
"Benke, Andras"
"Benke, Balint"
"Benko, Balazs"
"Benko, Bence"
"Benko, Elod"
"Benko, Jakab"
"Benko, Jan"
"Benko, Tibor"
"Benko-Biro, Norbert"
"Benyei, Balazs"
"Berde, Istvan"
"Berdo, Mate"
"Berdo, Peter"
"Berdo, Valentin"
"Berecki, Sandor"
"Berecz, Zsolt"
"Berecz, Zsombor"
"Bereczki, Daniel"
"Bereczky, Bence"
"Berenyi, Balazs"
"Beretka, Peter"
"Berki, Gabor"
"Berki, Istvan"
"Berki, Peter"
"Berko, Adam"
"Berla, Attila"
"Bernat, Peter"
"Bernath, Martin"
"Berndt, Tamas"
"Bertus, Lajos"
"Berzeki, Daniel"
"Bese, Balazs"
"Bese, Barnabas"
"Besztercei, Attila"
"Bevardi, Mate"
"Bevardi, Zsombor"
"Bezeredi, Adam"
"Bezeredi, Balazs"
"Bidzilya, Anton"
"Bieder, Tamas"
"Bihari, Adam"
"Bihari, Gyula"
"Biro, Akos"
"Biro, Andras"
"Biro, Bence"
"Biro, Bence"
"Biro, Dominik"
"Biro, Jozsef"
"Biro, Norbert"
"Biro, Peter"
"Biro, Peter"
"Biro, Peter"
"Biro, Tamas"
"Biro, Zoltan"
"Biro, Zoltan"
"Birtalan, Botond"
"Birtalan, Janos"
"Birtalan, Tamas"
"Birtalan, Zsolt"
"Bischoff, Marcell"
"Blaskovits, Patrik"
"Blatt, Pal"
"Bobal, David"
"Bobal, Gergely"
"Bocs, Bence"
"Bocsi, Patrik"
"Bocskey, Benjamin"
"Bocskey, Zsolt"
"Boczki, Attila"
"Boda, Jozsef"
"Bodai, Daniel"
"Bode, Daniel"
"Bodi, Adam"
"Bodis, Istvan"
"Bodis, Martin"
"Bodnar, Daniel"
"Bodnar, Dominik"
"Bodnar, Istvan"
"Bodnar, Janos"
"Bodnar, Mate"
"Bodo, Dominic"
"Bodo, Gabor"
"Bodo, Peter"
"Bodor, Marko"
"Bodor, Tibor"
"Bodrogi, Janos"
"Bogar, Mark"
"Bogati, Peter"
"Bogati, Tamas"
"Bogdan, Adam"
"Bogdan, Erik"
"Bogdan, Norbert"
"Bogdanovic, Igor"
"Bognar, Adrian"
"Bognar, Bence"
"Bognar, David"
"Bognar, Istvan"
"Bognar, Patrik"
"Bognar, Zsolt"
"Bohner, Roland"
"Bohus, Peter"
"Boiter, Adi"
"Bojte, Patrik"
"Bojtor, Laszlo"
"Bokanyi, Richard"
"Bokor, Balazs"
"Bokor, Bence"
"Bokros, Szilard"
"Bokros, Tibor"
"Bolcsfoldi, Milan"
"Boldog, Zoltan"
"Bole, Lukacs"
"Bolla, Balazs"
"Bolla, Bendeguz"
"Bolla, Gergo"
"Bolla, Patrik"
"Bolyki, Andor"
"Bondi, Adam"
"Bonica, Sebastian"
"Bonivart, Erik"
"Bonnyai, Mark"
"Bonto, Marcell"
"Bor, David"
"Bora, Gyorgy"
"Borbely, Akos"
"Borbely, Balint"
"Borbely, Istvan"
"Bordas, Daniel"
"Borek, Norbert"
"Bori, Gabor"
"Borics, Levente"
"Borkai, Adam"
"Boroczky, Balint"
"Boromisza, Gabor"
"Boros, Attila"
"Boros, Csongor"
"Boros, David"
"Boros, Gabor"
"Boros, Janos"
"Boros, Renato"
"Boros, Tamas"
"Borovsky, Daniel"
"Borovyk, Illya"
"Borsi, Bence"
"Borsi, Kevin"
"Borsi, Marton"
"Borsiczki, Akos"
"Borsiczki, Marcell"
"Borsos, Balazs"
"Borsos, Botond"
"Borsos, Flilp"
"Borsos, Istvan"
"Borsos, Szilard"
"Borsos, Vilmos"
"Borveto, Aron"
"Borza, Bence"
"Bosnjak, Predrag"
"Bosz, Gabor"
"Bosz, Levente"
"Botka, Endre"
"Botlik, Daniel"
"Botlo, Adam"
"Botos, Szabolcs"
"Bozsik, Adam"
"Bozso, Antal"
"Bozso, Laszlo"
"Bozso, Zsolt"
"Bozsoki, Imre"
"Brekk, Arpad"
"Brink Joza, Tibor"
"Brlazs, Gabor"
"Broceta, Aleksa"
"Bucz, Bence"
"Buczko, Istvan"
"Budahazi, Levente"
"Budai, David"
"Buki, Baltazar"
"Buki, Marcell"
"Bukos, Nandor"
"Bukos, Nandor"
"Bukran, Erik"
"Bukta, Csaba"
"Buku, Richard"
"Burai, Attila"
"Burai, Erik"
"Burany, Zoltan"
"Buranyi, Tamas"
"Burcsik, Martin"
"Burics, Andras"
"Burka, Bendeguz"
"Burkus, Mate"
"Burzi, Alex"
"Busa, Bence"
"Busai, Andras"
"Busai, Attila"
"Busai, Barna"
"Bussy, David"
"Buza, Barnabas"
"Buzas, Daniel"
"Buzas, Gergo"
"Buzas, Viktor"
"Buzasi, Peter"
"Buzora, Belian"
"Casiadi, Soma"
"Causic, Andrej"
"Cherepko, Andriy"
"Chifu, Daniel"
"Chrobak, Janos"
"Churko, Vyacheslav"
"Cigan, Cristian"
"Cipf, Dominik"
"Constantinescu, Dan-Marius"
"Constantino, Dominik"
"Corbu, Marius"
"Crkvenjakov, Dalibor"
"Csaba, Daniel"
"Csaba, Gergo"
"Csabi, Mihaly"
"Csak, Karoly"
"Csak, Zoltan"
"Csaki, Jozsef"
"Csaki, Kalman"
"Csaki, Robert"
"Csaki, Zoltan"
"Csakvari, Zsolt"
"Csala, David"
"Csanaki, Peter"
"Csanalosi, Patrik"
"Csaszar, Attila"
"Csaszar, Balazs"
"Csatlos, Csaba"
"Csato, Gergo"
"Csato, Martin"
"Csavas, Bence"
"Cseh, Gergo"
"Csehi, Tamas"
"Cseke, Attila"
"Cseke, Benjamin"
"Cseke, Karoly"
"Csemer, Gyula"
"Csendes, Peter"
"Csendom, Robert"
"Csengo, Tamas"
"Csepregi, Andras"
"Csepregi, Richard"
"Csepregi, Tamas"
"Cseri, Gergo"
"Cseri, Tamas"
"Csernak, Krisztian"
"Csernak, Martin"
"Csernik, Kornel"
"Cseszneki, Richard"
"Csibra, Daniel"
"Csicsek, Levente"
"Csicsvari, Andras"
"Csicsvari, Kristof"
"Csicsvari, Milan"
"Csigi, Adam"
"Csiki, Norbert"
"Csikos, Sandor"
"Csillag, Darius"
"Csillag, Laszlo"
"Csilus, Adam"
"Csilus, Tamas"
"Csima, Peter"
"Csirmaz, Istvan"
"Csirszki, Martin"
"Csiszar, Richard"
"Csiszar, Zoltan"
"Csizmadia, Csaba"
"Csizmadia, Zoltan"
"Csobanki, Adam"
"Csobanki, Lajos"
"Csoboth, Kevin"
"Csoka, Daniel"
"Csoknyai, Balazs"
"Csongradi, Mark"
"Csongvai, Aron"
"Csonka, Andras"
"Csonka, Bonifac"
"Csontos, Krisztian"
"Csordas, Szabolcs"
"Csorgo, Krisztian"
"Csorgo, Viktor"
"Csornij, Aron"
"Csorvasi, David"
"Csosz, Richard"
"Csucsanszky, Janos"
"Csuka, Mate"
"Csupity, Istvan"
"Csuri, Bence"
"Csurka, Adam"
"Csurka, Pal"
"Csutorka, Mark"
"Csuzz, Martin"
"Culibrk, Aleksandar"
"Czafit, Csaba"
"Czanik, Karoly"
"Czar, Richard"
"Czar, Robert"
"Czegel, Mate"
"Czerman, Mark"
"Czerula, David"
"Czerula, Zsolt"
"Czeto, Istvan"
"Czeto, Mark"
"Czimmermann, Patrik"
"Czinano, Antal"
"Czingraber, Mate"
"Czirba, Robert"
"Czirjek, Zoltan"
"Czuczi, Marton"
"Czutor, Vito"
"Czvitkovics, Gabor"
"Czvitkovics, Peter"
"Dabasi, Karoly"
"Dajka, Laszlo"
"Dallos, Gabor"
"Dallos, Mate"
"Damasdi, Alex"
"Dancs, Bela"
"Daniel, Csaba"
"Danko, Krisztian"
"Danko, Marton"
"Darabont, Gabor"
"Darai, Tamas"
"Darazs, Peter"
"Dardai, Arpad"
"Dardai, Marton"
"Dardai, Palko"
"Darida, Adam"
"Daroczi, David"
"Daroczi, Zoltan"
"Daru, Bence"
"David, Daniel"
"David, Ervin"
"David, Ferenc"
"David, Levente"
"David, Robert"
"David, Zoltan"
"David, Zsolt"
"De Oliveira, Ayrton"
"Deak, Stefan"
"Deak, Tibor"
"Debreceni, Andras"
"Debreceni, David"
"Deczki, Mate"
"Dedics, Alex"
"Delczeg, Gergely"
"Delea, Zsombor"
"Deli, Mario"
"Deme, Gergely"
"Deme, Imre"
"Deme, Lajos"
"Demjen, Patrik"
"Demko, Balazs"
"Dencinger, Norbert"
"Dencz, David"
"Denes, Zsolt"
"Denesi, Laszlo"
"Der, Istvan"
"Derekas, Zoltan"
"Despotovic, Vanja"
"Deutsch, Bence"
"Deutsch, Laszlo"
"Deutsch, Zoltan"
"Devai, Csaba"
"Devecseri, Szilard"
"Dezsi, Gergo"
"Dibusz, Denes"
"Dienes, Andras"
"Dinjar, Marko"
"Dinnyes, Tamas"
"Disztl, Gabor"
"Dlusztus, Andras"
"Dobi, Gergo"
"Dobos, Aron"
"Dobos, Gabor"
"Dobray, Zsolt"
"Dobsa, Gergo"
"Docza, Gabor"
"Doczi, Krisztian"
"Dolhai, Gergo"
"Dombai, Andras"
"Dombi, Gergo"
"Dombo, David"
"Domjan, Roland"
"Domokos, Attila"
"Domokos, Balint"
"Domonyi, Gergo"
"Domonyi, Roland"
"Dorogi, Renato"
"Dosan, Dan"
"Dragoner, Filip"
"Dravucz, Mate"
"Drozdik, David"
"Dudas, Daniel"
"Dudas, Robert"
"Dullo, Martin"
"D'Urso, Giuliano"
"Dvorschak, Gabor"
"Dzsudzsak, Balazs"
"Edelenyi, Balint"
"Egejuru, Godslove"
"Egerszegi, Tamas"
"Egri, Andras"
"Egyed, Balazs"
"Eichenvalder, Robert"
"Ekker, Milan"
"Elbert, Marko"
"Elbert, Peter"
"Elek, Akos"
"Elek, Bence"
"Elek, Istvan"
"Eles, Viktor"
"Ene, Cornel"
"Engel, Alex"
"Enyingi, Marcell"
"Eordogh, Levente"
"Eperjesi, Gabor"
"Eppel, Marton"
"Erdei, Andras"
"Erdei, Carlo"
"Erdei, Gabor"
"Erdei, Gergo"
"Erdei, Peter"
"Erdei-Nagy, Norbert"
"Erdelyi, Botond"
"Erdelyi, Laszlo"
"Erdos, Gabor"
"Erdos, Levente"
"Eros, Daniel"
"Eros, Noel"
"Eros, Ronald"
"Eross, Csaba"
"Esze, Bence"
"Eszlatyi, Istvan"
"Fabian, Bence"
"Fabian, Daniel"
"Fabian, Zoltan"
"Fabu, Marton"
"Facsko, Jozsef"
"Fadgyas, Tamas"
"Faggyas, Milan"
"Fajkusz, Daniel"
"Fajkusz, Laszlo"
"Faller, Andras"
"Falusy, Balint"
"Farago, Roland"
"Farago, Tomas"
"Farkas, Adam"
"Farkas, Adam"
"Farkas, Adam"
"Farkas, Adam"
"Farkas, Andor"
"Farkas, Andras"
"Farkas, Andras"
"Farkas, Aron"
"Farkas, Attila"
"Farkas, Aurel"
"Farkas, Balazs"
"Farkas, Daniel"
"Farkas, Daniel"
"Farkas, Daniel"
"Farkas, Istvan"
"Farkas, Janos"
"Farkas, Jeno"
"Farkas, Krisztian"
"Farkas, Marcell"
"Farkas, Mark"
"Farkas, Mark"
"Farkas, Mate"
"Farkas, Mate"
"Farkas, Miklos"
"Farkas, Norbert"
"Farkas, Peter"
"Farkas, Tamas"
"Farkas, Viktor"
"Farkas, Viktor"
"Farkas, Zoltan"
"Farkas, Zoltan"
"Farkas, Zoltan"
"Fazakas, Geza"
"Fazekas, Mate"
"Fazekas, Richard"
"Feczesin, Robert"
"Feher, Balazs"
"Feher, Farkas"
"Feher, Gabor"
"Feher, Imre"
"Feher, Janos"
"Feher, Jozsef"
"Feher, Kornel"
"Feher, Martin"
"Feher, Zoltan"
"Feher, Zoltan"
"Feher, Zsolt"
"Feher-Kaplar, Zsombor"
"Fehervari, Martin"
"Fehr, David"
"Feil, Mate"
"Fejes, Andras"
"Fejes, Janos"
"Fejes, Peter"
"Fejos, Aron"
"Fek, Zsolt"
"Fekecs, David"
"Fekete, Adam"
"Fekete, Bence"
"Fekete, Ferenc"
"Fekete, Laszlo"
"Fekete, Marcell"
"Fekete, Mate"
"Fekete, Tamas"
"Fekete, Viktor"
"Fekete, Viktor"
"Fekete, Vilmos"
"Felber, Patrik"
"Felfoldi, Mark"
"Fellai, Jozsef"
"Fellegi, Nandor"
"Fellner, Krisztofer"
"Fenton, Louis"
"Fenyes, Szabolcs"
"Fenyofalvi, Csaba"
"Fenyofalvi, David"
"Fenyvesi, Oliver"
"Ferencz, Balint"
"Ferencz, Zoltan"
"Ferenczi, Istvan"
"Ferenczi, Janos"
"Ferenczi, Mate"
"Ferenczi, Patrik"
"Ferenczi, Zsolt"
"Ferkel, Miklos"
"Ferko, Adam"
"Fiath, Peter"
"Ficsor, David"
"Ficsor, Richard"
"Ficzere, Bence"
"Fider, Adam"
"Fila, Karoly"
"Filipanics, Balint"
"Filipovic, Marko"
"Filkor, Attila"
"Filkor, Mark"
"Fiola, Attila"
"Fisli, Andras"
"Fisli, Karoly"
"Fitos, Laszlo"
"Fiumei, Viktor"
"Fodor, Adam"
"Fodor, Akos"
"Fodor, Andras"
"Fodor, Daniel"
"Fodor, Ferenc"
"Fodor, Marcell"
"Fodor, Martin"
"Fodor, Norbert"
"Fodor, Peter"
"Foldes, Gabor"
"Foldes, Milan"
"Foldi, Botond"
"Foldi, Laszlo"
"Foldi, Marcell"
"Foldi, Mate"
"Foldvari, Csaba"
"Folmer, Krisztian"
"Fonyedi, Gergo"
"Fonyodi, Balint"
"Forgacs, Andras"
"Forgacs, Bence"
"Forgacs, David"
"Forgacs, Peter"
"Forrai, Zoltan"
"Forro, Attila"
"Forro, Gyula"
"Fotos, Laszlo"
"Fotyik, Dominik"
"Fridrich, David"
"Fritz, Attila"
"Fritz, Tibor"
"Frohlich, Roland"
"Fuhrmann, Peter"
"Fujsz, Richard"
"Fuleki, Mark"
"Fuleki, Norbert"
"Fulop, Gergo"
"Fulop, Istvan"
"Fulop, Laszlo"
"Fulop, Noel"
"Fulop, Soma"
"Fulop, Tibor"
"Furedi, Adam"
"Furedi, Patrik"
"Furedi, Szabolcs"
"Furjes, Adam"
"Futacs, Marko"
"Futaki, Krisztian"
"Futo, Zsombor"
"Fuzer, Zoltan"
"G. Biro, Gergo"
"Gaal, Balint"
"Gabor, Beniamin"
"Gabor, Gergo"
"Gabor, Lukacs"
"Gabor, Peter"
"Gabriel, Adrian"
"Gacsal, Norbert"
"Gado, Gabor"
"Gafouroglou, Richard"
"Gagyi, Sandor"
"Gajag, Gergo"
"Gajda, Istvan"
"Gajda, Marko"
"Gajdos, Gergely"
"Gajdos, Zsolt"
"Gal, Benedek"
"Gal, Gabor"
"Gal, Gergely"
"Gal, Istvan"
"Gal, Janos"
"Gal, Laszlo"
"Gal, Mark"
"Gal, Matyas"
"Gal, Szabolcs"
"Gal, Szabolcs"
"Gal, Tamas"
"Gal, Tamas"
"Galacs, Erik"
"Galaczi, Janos"
"Galamb, David"
"Galambos, Adam"
"Galambos, Gabor"
"Galambosi, Mate"
"Galambvari, Gergo"
"Galfi, Laszlo"
"Galgoczi, Karoly"
"Galle, Balazs"
"Gallik, Gabor"
"Galosi, Csongor"
"Gamal, Richard"
"Gango, Bela"
"Garamvolgyi, Csaba"
"Garancsi, Roland"
"Garda, Geza"
"Gardos, Andras"
"Garics, Gyorgy"
"Gaspar, Donat"
"Gaspar, Mate"
"Gaspar, Tamas"
"Gaspar, Zoltan"
"Gaszner, Mate"
"Gauzer, Levente"
"Gazdag, Balint"
"Gazdag, Daniel"
"Gazsi, Ferenc"
"Gazsi, Tamas"
"Gecse, Gyula"
"Gegeny, Balint"
"Geiger, Norbert"
"Gelei, Vince"
"Gelencser, Antal"
"Gelencser, Balint"
"Gelencser, Bence"
"Gelencser, Gergo"
"Gelencser, Gyorgy"
"Gemes, Bence"
"Gengeliczki, Gergo"
"Gera, Daniel"
"Gera, David"
"Gere, Zoltan"
"Geresi, Krisztian"
"Gergely, Akos"
"Gergely, Istvan"
"Gergely, Peter"
"Gergenyi, Bence"
"Gergenyi, Janos"
"Gergulas, Ferenc"
"Gergye, Daniel"
"Gerhardt, Adam"
"Gerhat, David"
"Geringer, Laszlo"
"Geringer, Tamas"
"German, Tamas"
"Gevay, Laszlo"
"Gevay, Zsolt"
"Gey, Victor"
"Gezart, Attila"
"Gezart, Tamas"
"Giak, Tamas"
"Gigacz, Akos"
"Gilinger, Mark"
"Giran, Mate"
"Goblyos, Daniel"
"Goblyos, Krisztian"
"Gobolos, Andras"
"Gobolos, Norbert"
"Gocze, Gergo"
"Godzhayev, Telman"
"Gogitz, Adam"
"Goher, Gergo"
"Golya, Martin"
"Gombkoto, Sandor"
"Gonczo, Laszlo"
"Gora, Mark"
"Goretich, Balazs"
"Gorgenyi, David"
"Gosztonyi, Andras"
"Gottfried, Daniel"
"Grabant, Bence"
"Grabant, Gergo"
"Grabant, Peter"
"Grabarics, Mate"
"Grabowski, Gabor"
"Granicz, Patrik"
"Graszl, Norbert"
"Grecso, Bence"
"Greczi, Gabor"
"Greczi, Marton"
"Greksa, Bence"
"Greso, Matyas"
"Grof, David"
"Groz, Balint"
"Grozdic, Boris"
"Gruber, Szilard"
"Grumic, Miroslav"
"Grunwald, Attila"
"Gruz, Tamas"
"Gubacsi, Zoltan"
"Gubicza, Gabor"
"Gulacsi, Bertalan"
"Gulacsi, Peter"
"Gulyas, Balazs"
"Gulyas, Gergo"
"Gulyas, Geza"
"Gulyas, Laszlo"
"Gulyas, Mate"
"Gundel Takacs, Bence"
"Gunther, Zsolt"
"Guzmics, Patrik"
"Guzmics, Richard"
"Guzsik, Richard"
"Gyagya, Attila"
"Gyani, Roland"
"Gyano, Ferenc"
"Gyano, Jozsef"
"Gyano, Szabolcs"
"Gyaraki, Laszlo"
"Gyarmati, Mark"
"Gyarmati, Zoltan"
"Gyatyel, Norbert"
"Gyepes, Gabor"
"Gyoker, Tamas"
"Gyokeres, Viktor"
"Gyollai, Daniel"
"Gyomber, Gabor"
"Gyomber, Norbert"
"Gyor, Adrian"
"Gyore, Krisztian"
"Gyorgy, Bence"
"Gyorgy, Nico"
"Gyorgye, Erik"
"Gyori, Karoly"
"Gyori, Raymond"
"Gyulay, Gergely"
"Gyuracz, Andras"
"Gyuracz, Balint"
"Gyurakovics, Erik"
"Gyurcso, Adam"
"Gyure, Levente"
"Gyurjan, Bence"
"Gyurjan, Marton"
"Gyurki, Gergely"
"Gyuru, Csaba"
"Gyuru, Laszlo"
"Gyuru, Tibor"
"Haasz, Tamas"
"Haburcsak, Krisztian"
"Hacioglu, Sinan"
"Hada, Zoltan"
"Hadaro, Valentin"
"Hadhazi, David"
"Hahn, Janos"
"Hajagos, Tamas"
"Hajba, Tamas"
"Hajdok, Gabor"
"Hajdu, Adam"
"Hajdu, Gergely"
"Hajdu, Istvan"
"Hajdu, Laszlo"
"Hajdu, Sandor"
"Hajko, Balazs"
"Hajnal, Balazs"
"Hajnal, Barnabas"
"Hajnal, Gabor"
"Hajos, Krisztian"
"Halasi, Adam"
"Halasi, Peter"
"Halasz, Krisztian"
"Halasz, Patrik"
"Halgas, Istvan"
"Halmosi, Peter"
"Hamar, Adam"
"Hamar, Dominik"
"Hamar, Erik"
"Hamar, Istvan"
"Hamar, Robert"
"Hambuch, Milan"
"Hammer, Robert"
"Hamori, Akos"
"Hampuk, Adam"
"Hamza, Milan"
"Hanak, Attila"
"Handler, Otto"
"Hangya, Szilveszter"
"Hanol, Milan"
"Hanzl, Mate"
"Harangozo, Bence"
"Harangozo, Krisztian"
"Haraszko, Sandor"
"Haraszti, Attila"
"Haraszti, Patrik"
"Haraszti, Zsolt"
"Haris, Attila"
"Harman, Jozsef"
"Harsanyi, Daniel"
"Harsanyi, Istvan"
"Harsanyi, Norbert"
"Harsanyi, Zoltan"
"Harsanyi, Zsolt"
"Harsfalvi, Andras"
"Has, Cristian"
"Hatvani, Jozsef"
"Hauser, Daniel"
"Havas, Attila"
"Havasi, Daniel"
"Hazafi, Akos"
"Hazafi, Ferenc"
"Hazi, Bence"
"Hecz, Alex"
"Heffler, Norbert"
"Heffler, Tibor"
"Hegedus, Adam"
"Hegedus, Csaba"
"Hegedus, David"
"Hegedus, Edvin"
"Hegedus, Ferenc"
"Hegedus, Istvan"
"Hegedus, Janos"
"Hegedus, Jozsef"
"Hegedus, Lajos"
"Hegedus, Laszlo"
"Hegedus, Mark"
"Hegedus, Mark"
"Hegedus, Martin"
"Hegedus, Norbert"
"Hegedus, Patrik"
"Hegedus, Sandor"
"Hegedus, Tamas"
"Hegedus, Tibor"
"Hegedus, Zsolt"
"Heil, Valter"
"Heinrich, Mark"
"Helesfay, Donat"
"Heray, Laszlo"
"Herbert, Roland"
"Herceg, Peter"
"Herczeg, Ferenc"
"Herczeg, Laszlo"
"Hergenroder, David"
"Herjeczki, Kristof"
"Hermany, Bence"
"Herzsenyak, Aron"
"Hesz, Oliver"
"Hetesi, Patrik"
"Hevesi, Kristof"
"Hevesi-Toth, Tamas"
"Hibo, Imre"
"Hidi, Norbert"
"Hidi, Patrik"
"Hidi, Sandor"
"Hidvegi, Sandor"
"Hidvegi, Tibor"
"Hinora, Kristof"
"Hinora, Oliver"
"Hirman, Kristof"
"Hirschler, Bence"
"Hives, Balazs"
"Hleba, Tamas"
"Hmelyovszki, Tibor"
"Hodgyai, Laszlo"
"Hoffer, Levente"
"Holczer, Adam"
"Holdampf, Gergo"
"Holender, Filip"
"Holentoner, Edvin"
"Holman, David"
"Homonyik, Gabriel"
"Hompot, Daniel"
"Honti, Attila"
"Hoos, Patrik"
"Horgosi, Donat"
"Horgosi, Zoltan"
"Hornyak, Marcell"
"Hornyik, Marton"
"Horto, Attila"
"Horvat, Gabor"
"Horvath, Adam"
"Horvath, Adam"
"Horvath, Adrian"
"Horvath, Agoston"
"Horvath, Andras"
"Horvath, Andras"
"Horvath, Andras"
"Horvath, Andras"
"Horvath, Antal"
"Horvath, Arpad"
"Horvath, Attila"
"Horvath, Attila"
"Horvath, Attila"
"Horvath, Attila"
"Horvath, Balazs"
